movie_id,gross
tt0282687,16872671
tt0121765,653779970
tt0278504,113758770
tt0286179,3369654
tt0257044,181001478
tt0280760,6919198
tt0245171,180616
tt0280491,1758689
tt0246677,4247089
tt0272338,24675714
tt0286261,2845696
tt0299117,1934497
tt0297884,29027914
tt0295238,890502
tt0307479,30002758
tt0257360,105834556
tt0307901,23932055
tt0168786,23367586
tt0217505,193772504
tt0272207,12633747
tt0264464,352114312
tt0290210,660763
tt0282698,223426
tt0270288,33013805
tt0271668,50097949
tt0299458,579986
tt0324080,260523
tt0301978,452895
tt0236640,129364
tt0316188,2816116
tt0304328,723040
tt0252684,69958
tt0285861,1271244
tt0324133,22441497
tt0301199,13904766
tt0316356,68296293
tt0305206,7986084
tt0325805,65565672
tt0310154,322097
tt0309820,29632684
tt0332379,131095990
tt0138524,120801243
tt0313542,80154140
tt0298845,25382911
tt0315983,16763804
tt0159365,173013509
tt0368913,3910519
tt0361925,14615099
tt0360009,8112712
tt0276919,16689283
tt0328107,130834852
tt0332375,10275509
tt0381681,15936507
tt0361309,3361213
tt0384810,579350
tt0383694,13267869
tt0360130,156767
tt0350258,123971376
tt0317198,265126918
tt0212712,20205757
tt0320193,6696952
tt0366777,11782282
tt0377091,802948
tt0395169,33882243
tt0416991,495270
tt0379357,6945
tt0382189,2766976
tt0415978,8012838
tt0327753,88078
tt0412019,47329961
tt0418773,3399228
tt0361715,994790
tt0318761,2138742
tt0380599,42580321
tt0338427,11675161
tt0408306,130982129
tt0444653,18586834
tt0385726,42938449
tt0420260,556268
tt0454848,186003591
tt0322700,3264
tt0317219,461991867
tt0422720,60917189
tt0459666,581875
tt0457513,39220946
tt0430357,163794509
tt0468489,4660481
tt0436697,123384128
tt0446747,121292
tt0404203,14821658
tt0468526,301047
tt0473308,22240529
tt0401997,40953935
tt0463903,91297
tt0454776,32120360
tt0218379,114283
tt0382765,6044112
tt0488120,92011561
tt0338216,8461686
tt0491747,9194283
tt0444628,193067
tt0494222,1298037
tt0842929,4545747
tt1093842,316743
tt0454931,513737
tt0498399,55033767
tt0465538,92991835
tt0805564,11293663
tt0757361,2900156
tt0854678,294309
tt0970468,16724933
tt1045670,18696602
tt0936501,226837760
tt0826711,1335987
tt0827517,1297260
tt0367882,790653942
tt0829193,544925
tt0942385,195702963
tt0887883,163728902
tt0800308,27712362
tt1084950,16937968
tt0383028,4658401
tt1054588,4802953
tt0830515,589580482
tt0851577,3557508
tt1013753,54589558
tt1129423,33473297
tt0986233,3185113
tt0918927,51699984
tt1205489,269958228
tt0870111,27426335
tt1068680,223241637
tt0985699,201545517
tt1152850,1192995
tt1103275,16303643
tt1135487,78176181
tt0990413,1144438
tt0493402,586888
tt1172203,12619
tt1173745,886407
tt1182345,9760107
tt1156173,5701481
tt1178663,36020534
tt1152836,214104620
tt0938341,943547
tt0964185,2874474
tt1339268,46590
tt1153690,81864
tt1078940,171844840
tt0386117,100140916
tt1224366,49971
tt1193138,166842739
tt0432283,46474181
tt0188160,3548556
tt1175506,2336172
tt1057500,122426792
tt0988045,524028679
tt1224153,906590
tt1120985,15440333
tt1399683,13796834
tt0804497,6491240
tt1228987,27093592
tt1542344,60738797
tt1101675,219244
tt1405809,2947270
tt1421051,14788642
tt1431181,19722766
tt1192628,245724603
tt1518812,1205257
tt1606392,11789613
tt0271537,3574
tt1478338,288383523
tt1605783,151672318
tt1216475,559852396
tt1598778,136515867
tt1210166,110206216
tt1340800,81515369
tt1675192,3741098
tt1204340,676111
tt1441326,4778439
tt1233192,2913599
tt0466893,564864
tt0970179,185770310
tt0391483,69816
tt1911600,1567478
tt1515091,543848418
tt1372686,2435325
