movie_id,cluster
tt0242423,14
tt0242445,2
tt0242508,8
tt0242519,8
tt0242527,6
tt0242572,2
tt0242587,8
tt0242653,14
tt0242821,0
tt0242888,2
tt0242953,9
tt0242998,2
tt0243017,4
tt0243133,14
tt0243155,1
tt0243210,0
tt0243232,8
tt0243328,9
tt0243415,11
tt0243554,3
tt0243575,13
tt0243595,2
tt0243609,4
tt0243655,0
tt0243736,14
tt0243885,0
tt0243892,6
tt0243904,0
tt0243907,12
tt0243931,2
tt0244000,1
tt0244094,0
tt0244095,10
tt0244196,2
tt0244244,1
tt0244437,0
tt0244452,6
tt0244465,2
tt0244471,3
tt0244521,3
tt0244709,5
tt0244803,6
tt0245046,1
tt0245090,5
tt0245095,0
tt0245120,13
tt0245171,4
tt0245238,2
tt0245294,6
tt0245317,0
tt0245341,6
tt0245356,6
tt0245407,0
tt0245479,4
tt0245562,12
tt0245573,4
tt0245674,3
tt0245686,6
tt0245803,14
tt0245825,8
tt0245844,3
tt0245891,0
tt0246000,9
tt0246002,7
tt0246037,0
tt0246072,2
tt0246108,2
tt0246124,6
tt0246157,6
tt0246404,2
tt0246460,4
tt0246464,7
tt0246500,2
tt0246578,14
tt0246592,2
tt0246628,14
tt0246677,1
tt0246894,3
tt0246965,0
tt0246989,2
tt0247133,6
tt0247199,4
tt0247254,0
tt0247311,6
tt0247425,1
tt0247427,2
tt0247444,7
tt0247512,0
tt0247638,2
tt0247645,0
tt0247745,6
tt0247786,2
tt0248124,4
tt0248126,8
tt0248169,13
tt0248185,8
tt0248640,3
tt0248661,3
tt0248667,1
tt0248912,0
tt0248974,3
tt0249082,10
tt0249172,2
tt0249462,2
tt0249478,3
tt0249511,5
tt0249516,3
tt0249624,0
tt0249893,6
tt0250023,0
tt0250081,3
tt0250202,0
tt0250214,0
tt0250224,8
tt0250274,0
tt0250310,2
tt0250323,4
tt0250347,3
tt0250371,2
tt0250468,4
tt0250485,7
tt0250491,6
tt0250494,1
tt0250513,13
tt0250613,12
tt0250617,2
tt0250625,6
tt0250636,8
tt0250687,3
tt0250690,8
tt0250698,6
tt0250704,0
tt0250716,6
tt0250720,2
tt0250790,2
tt0250797,2
tt0251054,10
tt0251057,10
tt0251075,5
tt0251110,6
tt0251114,3
tt0251127,1
tt0251160,3
tt0251179,6
tt0251191,0
tt0251294,0
tt0251370,10
tt0251412,6
tt0251422,6
tt0251681,0
tt0251696,2
tt0251736,2
tt0251744,2
tt0251756,8
tt0251795,13
tt0251901,10
tt0252028,1
tt0252076,5
tt0252223,9
tt0252225,6
tt0252266,2
tt0252299,1
tt0252444,0
tt0252445,0
tt0252480,2
tt0252501,1
tt0252503,2
tt0252684,3
tt0252866,14
tt0252918,0
tt0252963,13
tt0253056,2
tt0253104,0
tt0253126,3
tt0253200,3
tt0253474,14
tt0253556,1
tt0253688,6
tt0253754,3
tt0253798,6
tt0253840,15
tt0253867,1
tt0254099,3
tt0254199,6
tt0254226,3
tt0254252,10
tt0254284,2
tt0254334,3
tt0254357,0
tt0254590,13
tt0254626,10
tt0254784,6
tt0255055,13
tt0255099,9
tt0255189,0
tt0255321,6
tt0255432,2
tt0255655,2
tt0255702,0
tt0255798,8
tt0255819,14
tt0255820,0
tt0256103,6
tt0256155,10
tt0256276,4
tt0256359,5
tt0256374,6
tt0256380,1
tt0256415,14
tt0256531,0
tt0257044,2
tt0257076,12
tt0257106,3
tt0257360,5
tt0257516,14
tt0257568,2
tt0257721,6
tt0257756,12
tt0257818,6
tt0258000,5
tt0258038,2
tt0258062,8
tt0258068,14
tt0258153,4
tt0258273,1
tt0258463,1
tt0258470,2
tt0258562,13
tt0258761,0
tt0258816,5
tt0259054,3
tt0259213,9
tt0259288,0
tt0259324,12
tt0259386,2
tt0259393,2
tt0259442,2
tt0259446,0
tt0259484,0
tt0259497,2
tt0259567,2
tt0259711,1
tt0259822,2
tt0259835,6
tt0259929,12
tt0260042,10
tt0260216,3
tt0260261,10
tt0260320,6
tt0260414,4
tt0260695,10
tt0260746,13
tt0260866,2
tt0260924,2
tt0261066,0
tt0261199,10
tt0261239,10
tt0261392,4
tt0261755,10
tt0261800,0
tt0261983,14
tt0261992,6
tt0262221,6
tt0262396,1
tt0262560,2
tt0262911,5
tt0263215,2
tt0263386,6
tt0263488,14
tt0263671,2
tt0263725,8
tt0263728,10
tt0263734,0
tt0263746,13
tt0263757,3
tt0263761,6
tt0264108,6
tt0264150,1
tt0264323,2
tt0264355,0
tt0264365,2
tt0264395,12
